SampleID,site,salinity,nutrients,treatment,chlorophyll_a,pH,initial_conductivity,conductivity,oxygen,nitrites,phosphates
1,Evora,Ambient,Ambient,ASAN,31.16,9.75,1.433,1.952,0.87,0.025,6.5
2,Evora,Ambient,Ambient,ASAN,23.23,9.19,0.687,1.004,3.59,0.025,8.6
3,Evora,Ambient,Ambient,ASAN,114.1,8.72,1.367,1.821,0.52,0.025,9
4,Evora,Ambient,Ambient,ASAN,55.7,9.13,0.947,1.18,0.67,0.025,3.1
5,Evora,Ambient,Ambient,ASAN,46.18,10.11,1.202,1.653,9.09,0.025,2.6
6,Evora,High,High,HSEN,211.3,10.07,5.74,38.5,21.38,0.025,0.63
7,Evora,High,High,HSEN,501.8,10.47,34.5,45.9,13.48,0.025,4.87
8,Evora,High,High,HSEN,122,9.15,37.8,43.2,2.88,0.025,6.8
9,Evora,High,High,HSEN,465.2,9.85,32.2,47.7,16.19,0.025,7.2
10,Evora,High,Ambient,HSAN,69.69,9.62,20.83,35.8,12.79,0.025,0.8
11,Evora,High,Ambient,HSAN,949.9,10.8,0.02,24.6,15.73,0.025,6.23
12,Evora,High,Ambient,HSAN,106.8,10.02,28,46.3,15.93,0.025,12
13,Evora,High,Ambient,HSAN,225.8,10,27.8,41.9,18.49,0.025,5.9
14,Evora,Ambient,High,ASEN,68.48,9.58,0.732,0.854,1.66,0.025,0.67
15,Evora,Ambient,High,ASEN,230.6,9.33,1.37,1.788,0.82,0.025,13.7
16,Evora,Ambient,High,ASEN,36.26,9.92,0.684,1.027,0.7,0.025,7.6
17,Evora,Ambient,High,ASEN,19.89,9.36,0.653,0.855,1.13,0.025,1.6
18,Evora,Low,High,MSEN,51.29,9.24,3.46,13.48,0.9,0.025,8.4
19,Evora,Low,High,MSEN,92.31,9.04,2.98,12.38,4.66,0.025,2.4
20,Evora,Low,High,MSEN,142.5,10.26,4.94,14,15.31,0.025,6.5
21,Evora,Low,High,MSEN,322.6,9.97,8.46,12.55,5.65,0.025,6.5
22,Evora,Low,Ambient,MSAN,25.39,9,10.1,10.1,3.01,0.025,2.8
23,Evora,Low,Ambient,MSAN,26.82,9.8,13.23,13.23,1.33,0.025,8.6
24,Evora,Low,Ambient,MSAN,253.3,10.21,12.95,12.95,21.92,0.025,1.5
25,Evora,Low,Ambient,MSAN,89.2,9.23,11.31,14.41,12.89,0.025,0.53
26,Jaca,Ambient,Ambient,ASAN,3.883,8.24,0.401,0.356,8.26,0.025,0.05
27,Jaca,Ambient,Ambient,ASAN,5.58,8.24,0.508,0.493,8.5,0.025,0.05
28,Jaca,Ambient,Ambient,ASAN,2.666,8.21,0.493,0.417,6.28,0.025,0.05
29,Jaca,Ambient,Ambient,ASAN,2.291,9.91,0.1615,0.149,12.46,0.025,0.05
30,Jaca,High,High,HSEN,33.85,8.32,46.6,40.8,13.97,0.025,2.5
31,Jaca,High,High,HSEN,19.25,8.38,24.7,18.98,10.43,0.025,0.09
32,Jaca,High,High,HSEN,5.269,8.43,0.416,0.347,8.94,0.025,0.05
33,Jaca,High,High,HSEN,46.45,8.8,24.4,17.41,11.46,0.025,0.05
34,Jaca,High,Ambient,HSAN,5.526,7.87,39.5,31.6,7.21,0.031,0.05
35,Jaca,High,Ambient,HSAN,5.17,9.88,0.231,0.236,11.63,0.025,0.76
36,Jaca,High,Ambient,HSAN,1.504,8.63,0.471,0.302,9.85,0.025,0.05
37,Jaca,High,Ambient,HSAN,2.45,8.19,24.3,23.4,9.65,0.025,0.05
38,Jaca,Ambient,High,ASEN,10.08,8.78,0.504,0.423,11.04,0.025,0.05
39,Jaca,Ambient,High,ASEN,9.099,9.01,0.3,0.245,9.41,0.025,0.05
40,Jaca,Ambient,High,ASEN,0.313,8.65,0.494,0.264,10.73,0.025,0.05
41,Jaca,Ambient,High,ASEN,1.568,9.71,0.373,0.1542,13.15,0.025,0.05
42,Jaca,Low,High,MSEN,6.868,8.48,8.89,8.39,10.26,0.025,0.05
43,Jaca,Low,High,MSEN,7.288,8.77,6.93,7.77,11.26,0.025,0.05
44,Jaca,Low,High,MSEN,13.7,9.14,6.75,8.28,11.33,0.025,0.16
45,Jaca,Low,High,MSEN,3.939,8.97,7.37,8.2,11.14,0.025,0.05
46,Jaca,Low,Ambient,MSAN,14.35,7.97,9.98,8.52,8.75,0.025,0.05
47,Jaca,Low,Ambient,MSAN,4.83,8.78,9.16,8.2,10.62,0.025,0.05
48,Jaca,Low,Ambient,MSAN,3.618,8.51,6.15,6.41,11.01,0.025,0.05
49,Jaca,Low,Ambient,MSAN,2.987,8.58,7.33,8.9,10.06,0.025,0.05
50,Porto,Ambient,Ambient,ASAN,15.31,6.7,0.0444,0.0478,12.99,0.025,0.05
51,Porto,Ambient,Ambient,ASAN,10.66,7.08,0.0788,0.1772,9.98,0.025,0.05
52,Porto,Ambient,Ambient,ASAN,20.125,7.09,0.0629,0.1616,13.85,0.025,0.05
53,Porto,Ambient,Ambient,ASAN,38180,6.32,0.0433,0.0695,10.35,0.025,0.05
54,Porto,High,High,HSEN,4.551,4.2,29.3,32.2,11.13,0.025,0.05
55,Porto,High,High,HSEN,63.72,5.76,13.74,30,13.1,0.025,0.05
56,Porto,High,High,HSEN,25.92,6.29,29.1,25.2,3.33,0.025,0.05
57,Porto,High,High,HSEN,24.8,5.45,28.8,31.3,5.7,0.025,0.05
58,Porto,High,Ambient,HSAN,4.106,4.39,26,30,6.67,0.025,0.05
59,Porto,High,Ambient,HSAN,74.97,6.25,23.9,30.5,13.86,0.025,1.2
